Bins,Phase
34.33,19.91489781
154.51,170.9117427
188.84,143.9820278
206.01,151.580554
231.76,159.0068131
248.93,73.27333293
283.27,59.79891934
300.43,107.3076681
334.77,72.41260763
360.52,48.12781633
377.69,7.488896896
420.61,80.93363477
515.03,163.570672
532.2,119.4844357
557.95,119.6898958
575.12,140.9410451
600.87,21.02623903
618.04,140.3985017
635.21,24.24420196
669.55,106.6268703
712.47,142.797576
729.63,173.2807469
746.8,154.6384244
772.55,174.0912828
798.31,152.5643777
824.06,112.2397214
841.23,116.0608502
858.39,42.39625315
875.56,88.82196838
901.31,39.52329855
935.65,171.3565362
978.57,143.9325642
1012.91,61.01292359
1030.07,8.233727866
1047.24,31.99412826
1064.41,116.3884907
1098.75,159.5632726
1124.5,79.11587217
1150.25,138.4701659
1167.42,78.80336403
1201.75,155.5147359
1218.92,146.9505404
1253.26,148.4660796
1287.59,65.07153175
1339.1,169.8823916
1356.26,158.5713627
1399.18,126.895606
1416.35,109.8374981
1459.27,56.85088224
1476.44,96.61453422
1502.19,38.69085316
1536.53,177.4322476
1553.7,120.9750357
1588.03,171.1179052
1622.37,112.6687881
1639.54,87.38612219
1665.29,109.0971356
1699.62,177.5931546
1733.96,36.41675616
1768.3,61.9159884
1794.05,76.74356864
1811.22,40.38797858
1836.97,145.0972841
1888.47,19.25517791
1905.64,78.02557758
1957.14,157.5545809
1982.9,162.1935267
2000.06,89.51839006
2017.23,82.32790767
2034.4,69.78872903
2051.57,140.5693099
2077.32,12.52535851
2103.07,44.895578
2120.24,157.6702092
2154.58,150.7400847
2180.33,75.4497163
2197.5,154.7083632
2223.25,162.5192046
2240.41,112.0503877
2283.33,111.8300366
2309.09,13.96945961
2326.25,35.16552389
2360.59,130.9540168
2377.76,27.08623597
2394.93,152.4162483
2412.09,54.98499518
2455.01,178.6950328
2472.18,126.9809208
2497.93,139.9652696
2532.27,97.88376488
2592.36,99.22582311
2643.86,64.63367051
2669.61,87.61552872
2695.37,111.0635229
2721.12,97.96129699
2738.29,9.820082642
2781.21,92.43546618
2798.37,6.250411589
2824.13,15.53633783
2867.05,126.7796986
2884.21,49.99975544
2909.97,78.46353717
2935.72,159.1573292
2970.05,113.0126319
2987.22,166.2417128
